"z","Points:0","Points:1","Points:2"
216.57,-3.09e+05,-1.3222e+05,0
262.61,-3.07e+05,-1.3137e+05,0
220.92,-3.0615e+05,-1.31e+05,0
204.75,-3.05e+05,-1.3051e+05,0
448.34,-3.03e+05,-1.2965e+05,0
540.74,-3.0147e+05,-1.29e+05,0
569.73,-3.01e+05,-1.288e+05,0
900,-2.99e+05,-1.2794e+05,0
1224.6,-2.97e+05,-1.2709e+05,0
1184.5,-2.968e+05,-1.27e+05,0
753.08,-2.95e+05,-1.2623e+05,0
1282.3,-2.93e+05,-1.2537e+05,0
1227.9,-2.9212e+05,-1.25e+05,0
1112,-2.91e+05,-1.2452e+05,0
881.06,-2.89e+05,-1.2366e+05,0
916.86,-2.8745e+05,-1.23e+05,0
930.67,-2.87e+05,-1.2281e+05,0
848.69,-2.85e+05,-1.2195e+05,0
1053.3,-2.83e+05,-1.211e+05,0
1060.3,-2.8278e+05,-1.21e+05,0
1117.7,-2.81e+05,-1.2024e+05,0
860.85,-2.79e+05,-1.1938e+05,0
861.69,-2.781e+05,-1.19e+05,0
911.9,-2.77e+05,-1.1853e+05,0
1029.1,-2.75e+05,-1.1767e+05,0
897.26,-2.7343e+05,-1.17e+05,0
848.99,-2.73e+05,-1.1682e+05,0
1120.5,-2.71e+05,-1.1596e+05,0
1159,-2.69e+05,-1.1511e+05,0
1141.2,-2.6875e+05,-1.15e+05,0
993.83,-2.67e+05,-1.1425e+05,0
782.2,-2.65e+05,-1.1339e+05,0
701.57,-2.6408e+05,-1.13e+05,0
623.57,-2.63e+05,-1.1254e+05,0
807.42,-2.61e+05,-1.1168e+05,0
773.8,-2.5941e+05,-1.11e+05,0
765.69,-2.59e+05,-1.1083e+05,0
616.55,-2.57e+05,-1.0997e+05,0
700.19,-2.55e+05,-1.0911e+05,0
686.77,-2.5473e+05,-1.09e+05,0
654.86,-2.53e+05,-1.0826e+05,0
798.12,-2.51e+05,-1.074e+05,0
838.5,-2.5006e+05,-1.07e+05,0
860.74,-2.49e+05,-1.0655e+05,0
780.11,-2.47e+05,-1.0569e+05,0
612.1,-2.4538e+05,-1.05e+05,0
576.96,-2.45e+05,-1.0484e+05,0
671.99,-2.43e+05,-1.0398e+05,0
797.22,-2.41e+05,-1.0312e+05,0
798.88,-2.4071e+05,-1.03e+05,0
769.68,-2.39e+05,-1.0227e+05,0
962.93,-2.37e+05,-1.0141e+05,0
1037.6,-2.3604e+05,-1.01e+05,0
1082.9,-2.35e+05,-1.0056e+05,0
879.39,-2.33e+05,-99701,0
827.27,-2.3136e+05,-99000,0
821.37,-2.31e+05,-98845,0
621.06,-2.29e+05,-97989,0
498.04,-2.27e+05,-97133,0
484.59,-2.2669e+05,-97000,0
414.3,-2.25e+05,-96277,0
404.78,-2.23e+05,-95422,0
350.09,-2.2201e+05,-95000,0
308.56,-2.21e+05,-94566,0
293.6,-2.19e+05,-93710,0
251.69,-2.1734e+05,-93000,0
249.49,-2.17e+05,-92854,0
385.59,-2.15e+05,-91998,0
537.75,-2.13e+05,-91143,0
553.93,-2.1267e+05,-91000,0
659.49,-2.11e+05,-90287,0
613.6,-2.09e+05,-89431,0
581.5,-2.0799e+05,-89000,0
551.35,-2.07e+05,-88575,0
515.54,-2.05e+05,-87719,0
508.26,-2.0332e+05,-87000,0
506.65,-2.03e+05,-86864,0
503.52,-2.01e+05,-86008,0
510.68,-1.99e+05,-85152,0
510.88,-1.9864e+05,-85000,0
514.08,-1.97e+05,-84296,0
774.32,-1.95e+05,-83440,0
860.33,-1.9397e+05,-83000,0
938.82,-1.93e+05,-82585,0
948.34,-1.91e+05,-81729,0
883.46,-1.893e+05,-81000,0
870.18,-1.89e+05,-80873,0
732.48,-1.87e+05,-80017,0
769.84,-1.85e+05,-79161,0
783.91,-1.8462e+05,-79000,0
866.77,-1.83e+05,-78306,0
764.88,-1.81e+05,-77450,0
668.33,-1.7995e+05,-77000,0
571.12,-1.79e+05,-76594,0
455.51,-1.77e+05,-75738,0
369.8,-1.7527e+05,-75000,0
355.24,-1.75e+05,-74882,0
318.98,-1.73e+05,-74027,0
269.62,-1.71e+05,-73171,0
260.16,-1.706e+05,-73000,0
217.04,-1.69e+05,-72315,0
202.02,-1.67e+05,-71459,0
196.34,-1.6593e+05,-71000,0
190.12,-1.65e+05,-70603,0
201.42,-1.63e+05,-69748,0
222.85,-1.6125e+05,-69000,0
229.11,-1.61e+05,-68892,0
274.18,-1.59e+05,-68036,0
258.25,-1.57e+05,-67180,0
252.64,-1.5658e+05,-67000,0
231.47,-1.55e+05,-66324,0
408.04,-1.53e+05,-65469,0
477.22,-1.519e+05,-65000,0
517.54,-1.51e+05,-64613,0
541.51,-1.49e+05,-63757,0
529.65,-1.4723e+05,-63000,0
529.34,-1.47e+05,-62901,0
493.69,-1.45e+05,-62045,0
495.55,-1.43e+05,-61190,0
493.86,-1.4256e+05,-61000,0
479.83,-1.41e+05,-60334,0
428.04,-1.39e+05,-59478,0
423.23,-1.3788e+05,-59000,0
421.79,-1.37e+05,-58622,0
350.83,-1.35e+05,-57766,0
268.77,-1.3321e+05,-57000,0
261.46,-1.33e+05,-56911,0
127.74,-1.31e+05,-56055,0
25.298,-1.29e+05,-55199,0
21.466,-1.2853e+05,-55000,0
11.602,-1.27e+05,-54343,0
5.7205,-1.25e+05,-53487,0
-3.9362,-1.2386e+05,-53000,0
-9.5917,-1.23e+05,-52632,0
-10.011,-1.21e+05,-51776,0
-14.636,-1.1919e+05,-51000,0
-15.122,-1.19e+05,-50920,0
-20.738,-1.17e+05,-50064,0
-25.357,-1.15e+05,-49208,0
-25.949,-1.1451e+05,-49000,0
-27.898,-1.13e+05,-48353,0
-30.959,-1.11e+05,-47497,0
-31.919,-1.0984e+05,-47000,0
-32.675,-1.09e+05,-46641,0
-35.377,-1.07e+05,-45785,0
-35.988,-1.0516e+05,-45000,0
-36.033,-1.05e+05,-44929,0
-39.395,-1.03e+05,-44074,0
-42.388,-1.01e+05,-43218,0
-43.535,-1.0049e+05,-43000,0
-46.543,-99000,-42362,0
-48.412,-97000,-41506,0
-50.274,-95817,-41000,0
-51.736,-95000,-40650,0
-60.871,-93000,-39795,0
-66.789,-91143,-39000,0
-67.249,-91000,-38939,0
-81.843,-89000,-38083,0
-90.523,-87000,-37227,0
-92.603,-86469,-37000,0
-98.261,-85000,-36371,0
-106.67,-83000,-35516,0
-114.38,-81795,-35000,0
-119.41,-81000,-34660,0
-127.19,-79000,-33804,0
-129.43,-77121,-33000,0
-129.62,-77000,-32948,0
-131.4,-75000,-32092,0
-130.86,-73000,-31237,0
-131.05,-72447,-31000,0
-131.78,-71000,-30381,0
-136.93,-69000,-29525,0
-138.16,-67773,-29000,0
-139.16,-67000,-28669,0
-141.31,-65000,-27813,0
-145.29,-63099,-27000,0
-145.49,-63000,-26958,0
-147.12,-61000,-26102,0
-149.79,-59000,-25246,0
-151.39,-58425,-25000,0
-155.38,-57000,-24390,0
-163.21,-55000,-23534,0
-169.61,-53751,-23000,0
-173.66,-53000,-22679,0
-185.52,-51000,-21823,0
-194.54,-49077,-21000,0
-194.89,-49000,-20967,0
-203.06,-47000,-20111,0
-213.28,-45000,-19255,0
-216.36,-44403,-19000,0
-224.07,-43000,-18400,0
-235.6,-41000,-17544,0
-242.75,-39729,-17000,0
-246.89,-39000,-16688,0
-261.36,-37000,-15832,0
-281.08,-35055,-15000,0
-281.6,-35000,-14976,0
-302.34,-33000,-14121,0
-323.7,-31000,-13265,0
-331.87,-30381,-13000,0
-350.7,-29000,-12409,0
-381.22,-27000,-11553,0
-401.84,-25707,-11000,0
-413.14,-25000,-10697,0
-457.6,-23000,-9841.7,0
-498.8,-21033,-9000,0
-499.5,-21000,-8985.9,0
-550.35,-19000,-8130.1,0
-628.92,-17000,-7274.3,0
-656.97,-16359,-7000,0
-717.03,-15000,-6418.5,0
-788.27,-13000,-5562.7,0
-811.56,-11685,-5000,0
-823.58,-11000,-4706.9,0
-854.8,-9000,-3851.1,0
-879.21,-7011,-3000,0
-879.34,-7000,-2995.3,0
-905.36,-5000,-2139.5,0
-945.49,-3000,-1283.7,0
-953.42,-2337,-1000,0
-968.75,-1000,-427.9,0
-994.25,1000,427.9,0
-1006.4,2337,1000,0
-1012.7,3000,1283.7,0
-1053.4,5000,2139.5,0
-1085.9,7000,2995.3,0
-1086.1,7011,3000,0
-1122.4,9000,3851.1,0
-1171.2,11000,4706.9,0
-1180.4,11685,5000,0
-1196,13000,5562.7,0
-1219.8,15000,6418.5,0
-1231.7,16359,7000,0
-1237.9,17000,7274.3,0
-1248.3,19000,8130.1,0
-1281.8,21000,8985.9,0
-1282.5,21033,9000,0
-1320.9,23000,9841.7,0
-1349.6,25000,10697,0
-1365.7,25707,11000,0
-1396.8,27000,11553,0
-1423.8,29000,12409,0
-1425.8,30381,13000,0
-1425.9,31000,13265,0
-1438.2,33000,14121,0
-1454.2,35000,14976,0
-1454.5,35055,15000,0
-1465.7,37000,15832,0
-1469.8,39000,16688,0
-1478.2,39729,17000,0
-1492.7,41000,17544,0
-1491.4,43000,18400,0
-1499,44403,19000,0
-1503.3,45000,19255,0
-1546.2,47000,20111,0
-1601.7,49000,20967,0
-1604.2,49077,21000,0
-1658.8,51000,21823,0
-1727.9,53000,22679,0
-1756,53751,23000,0
-1797.4,55000,23534,0
-1923.5,57000,24390,0
-1989.8,58425,25000,0
-2016.8,59000,25246,0
-2105.1,61000,26102,0
-2184.5,63000,26958,0
-2186.3,63099,27000,0
-2217.3,65000,27813,0
-2239,67000,28669,0
-2239.5,67773,29000,0
-2241.9,69000,29525,0
-2247.6,71000,30381,0
-2246.8,72447,31000,0
-2247.9,73000,31237,0
-2241.1,75000,32092,0
-2229.3,77000,32948,0
-2228.5,77121,33000,0
-2217.3,79000,33804,0
-2219.5,81000,34660,0
-2229.7,81795,35000,0
-2247.2,83000,35516,0
-2273,85000,36371,0
-2296.3,86469,37000,0
-2305,87000,37227,0
-2335.4,89000,38083,0
-2375.6,91000,38939,0
-2381,91143,39000,0
-2443.9,93000,39795,0
-2572,95000,40650,0
-2607.8,95817,41000,0
-2654.5,97000,41506,0
-2771.5,99000,42362,0
-2879,1.0049e+05,43000,0
-2919.4,1.01e+05,43218,0
-3021.2,1.03e+05,44074,0
-3181.6,1.05e+05,44929,0
-3191.8,1.0516e+05,45000,0
-3304.5,1.07e+05,45785,0
-3446.9,1.09e+05,46641,0
-3463.1,1.0984e+05,47000,0
-3479.6,1.11e+05,47497,0
-3607.4,1.13e+05,48353,0
-3770.6,1.1451e+05,49000,0
-3828.8,1.15e+05,49208,0
-4120.1,1.17e+05,50064,0
-4606.6,1.19e+05,50920,0
-4638.3,1.1919e+05,51000,0
-4933.7,1.21e+05,51776,0
-5117.5,1.23e+05,52632,0
-5209.2,1.2386e+05,53000,0
-5336.5,1.25e+05,53487,0
-5442.3,1.27e+05,54343,0
-5750.7,1.2853e+05,55000,0
-5844.6,1.29e+05,55199,0
-6047.6,1.31e+05,56055,0
-6056.5,1.33e+05,56911,0
-6083.4,1.3321e+05,57000,0
-6256.7,1.35e+05,57766,0
-6416.8,1.37e+05,58622,0
-6422.3,1.3788e+05,59000,0
-6430.4,1.39e+05,59478,0
-6427.8,1.41e+05,60334,0
-6486.8,1.4256e+05,61000,0
-6505.9,1.43e+05,61190,0
-6852.1,1.45e+05,62045,0
-7250.3,1.47e+05,62901,0
-7260.7,1.4723e+05,63000,0
-7333.1,1.49e+05,63757,0
-7385.8,1.51e+05,64613,0
-7455.6,1.519e+05,65000,0
-7543.5,1.53e+05,65469,0
-7646.9,1.55e+05,66324,0
-7473.1,1.5658e+05,67000,0
-7417.9,1.57e+05,67180,0
-7389.5,1.59e+05,68036,0
-7373.1,1.61e+05,68892,0
-7350.7,1.6125e+05,69000,0
-7200.3,1.63e+05,69748,0
-7061.7,1.65e+05,70603,0
